plant,species,time,number,time,neigh,trt
White.Clover,Heriades.carinata,EARLY.BU.t2,1,EARLY,BU,t2
Thistle,Heriades.carinata,EARLY.DS.t4,1,EARLY,DS,t4
Yellow.Sweet.Clover,Heriades.carinata,EARLY.GL.t6,1,EARLY,GL,t6
Common.Milkweed,Heriades.carinata,EARLY.HO.t6,1,EARLY,HO,t6
Common.Milkweed,Heriades.carinata,EARLY.SV.t8,1,EARLY,SV,t8
White.Sweet.Clover,Heriades.carinata,EARLY.TR.t6,1,EARLY,TR,t6
Common.Milkweed,Hylaeus.affinis,EARLY.HO.t6,1,EARLY,HO,t6
Queen.Annes.Lace,Hylaeus.affinis.modestus,EARLY.BU.t8,5,EARLY,BU,t8
Queen.Annes.Lace,Hylaeus.affinis.modestus,EARLY.CE.t2,1,EARLY,CE,t2
Queen.Annes.Lace,Hylaeus.affinis.modestus,EARLY.CE.t6,1,EARLY,CE,t6
Queen.Annes.Lace,Hylaeus.affinis.modestus,LATE.CE.t8,1,LATE,CE,t8
Queen.Annes.Lace,Hylaeus.affinis.modestus,EARLY.FA.t6,1,EARLY,FA,t6
Queen.Annes.Lace,Hylaeus.affinis.modestus,LATE.FA.t6,2,LATE,FA,t6
Queen.Annes.Lace,Hylaeus.affinis.modestus,LATE.FA.t8,4,LATE,FA,t8
Queen.Annes.Lace,Hylaeus.affinis.modestus,EARLY.GL.t6,1,EARLY,GL,t6
Queen.Annes.Lace,Hylaeus.affinis.modestus,EARLY.SV.t6,1,EARLY,SV,t6
Queen.Annes.Lace,Hylaeus.affinis.modestus,EARLY.TR.t6,5,EARLY,TR,t6
Canadian.Thistle,Hylaeus.affinis.modestus,EARLY.TR.t8,1,EARLY,TR,t8
Queen.Annes.Lace,Hylaeus.affinis.modestus,EARLY.TR.t8,3,EARLY,TR,t8
Queen.Annes.Lace,Hylaeus.fedorica,EARLY.BU.t8,3,EARLY,BU,t8
White.Sweet.Clover,Hylaeus.hyalinatus,EARLY.BU.t6,4,EARLY,BU,t6
Queen.Annes.Lace,Hylaeus.hyalinatus,EARLY.BU.t8,6,EARLY,BU,t8
White.Sweet.Clover,Hylaeus.hyalinatus,EARLY.BU.t8,1,EARLY,BU,t8
Queen.Annes.Lace,Hylaeus.hyalinatus,LATE.BU.t8,2,LATE,BU,t8
Queen.Annes.Lace,Hylaeus.hyalinatus,EARLY.FA.t1,1,EARLY,FA,t1
Queen.Annes.Lace,Hylaeus.hyalinatus,EARLY.FA.t6,1,EARLY,FA,t6
Birdsfoot.trefoil,Hylaeus.hyalinatus,EARLY.GL.t4,1,EARLY,GL,t4
Yellow.Sweet.Clover,Hylaeus.hyalinatus,EARLY.GL.t6,2,EARLY,GL,t6
Common.Milkweed,Hylaeus.hyalinatus,EARLY.HO.t6,1,EARLY,HO,t6
Queen.Annes.Lace,Hylaeus.hyalinatus,EARLY.HO.t8,1,EARLY,HO,t8
Queen.Annes.Lace,Hylaeus.hyalinatus,EARLY.TR.t6,4,EARLY,TR,t6
Queen.Annes.Lace,Hylaeus.hyalinatus,LATE.TR.t6,1,LATE,TR,t6
Queen.Annes.Lace,Hylaeus.hyalinatus,EARLY.TR.t8,3,EARLY,TR,t8
Queen.Annes.Lace,Hylaeus.mesillae,LATE.BU.t6,1,LATE,BU,t6
Queen.Annes.Lace,Hylaeus.mesillae,EARLY.BU.t8,5,EARLY,BU,t8
Lanceleaf.Coreopsis,Hylaeus.mesillae,EARLY.CE.t8,1,EARLY,CE,t8
Queen.Annes.Lace,Hylaeus.mesillae,EARLY.CE.t8,1,EARLY,CE,t8
Queen.Annes.Lace,Hylaeus.mesillae,EARLY.FA.t1,1,EARLY,FA,t1
Queen.Annes.Lace,Hylaeus.mesillae,EARLY.GL.t4,1,EARLY,GL,t4
Common.Milkweed,Hylaeus.mesillae,EARLY.HO.t6,1,EARLY,HO,t6
Queen.Annes.Lace,Hylaeus.mesillae,EARLY.TR.t6,1,EARLY,TR,t6
Queen.Annes.Lace,Hylaeus.mesillae,EARLY.TR.t8,3,EARLY,TR,t8
Queen.Annes.Lace,Hylaeus.modestus,EARLY.BU.t6,3,EARLY,BU,t6
Queen.Annes.Lace,Hylaeus.modestus,LATE.BU.t6,1,LATE,BU,t6
