"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_fbsor","SES_fbsim","SES_fbsne"
"GL6",-0.545887047025314,-2.31450343404539,4.25168190280785,-2.64623147222455,-5.26716728173987,5.26716728173986,-4.39548362003365,1.95867927720312,3.51470848858375,0.176484755611709,2.90783559295878,2.23886028911955,-1.65361102528305,3.74371837720454,-2.51792824019085,-44.0656885064011,-63.6219084616211,39.1230759431837,4.49588930463052,-0.868559558485077,3.71668247395528
"HO6",-2.85168501302219,-2.19394734047071,4.50743212736681,-3.0856088770736,-3.71352704254213,3.71352704254214,-2.90162537143803,2.07178872562943,2.58819856964665,0.478522282122585,-0.756039270179536,2.08669633916729,-1.45919460707616,2.15119320220119,-1.90667253392353,-53.5182383328679,-68.9254901704773,40.0212048762206,3.48061141930457,1.26151898885728,2.75223784700694
"SV6",-1.55203031235932,-2.19128220381094,3.79743530298033,-2.36004817104414,-6.12914862577938,6.12914862577939,-2.50451569716233,1.91817073485598,1.45596459541408,1.10413729749085,-0.595224256714588,1.16546037119597,-1.27791217522834,3.13228784293234,-2.29396578905988,-40.4080943467303,-56.4838049876208,45.4912622708947,2.68183545660859,0.0336296318537078,2.63627443747714
"TR6",-0.607151176733714,-3.20689215819315,4.78957087757979,-2.67410102634147,-7.09439802658975,7.09439802658975,-4.03457884275134,2.56913795115196,2.72177922953179,0.281510526224196,1.71800065745103,2.43668745297469,-0.690673324126027,2.53250655205829,-3.36903394951582,-51.8680330439503,-72.5277021488286,44.1031356256377,3.2870361554849,0.372901666640596,2.24680205055616
"BU8",-2.44682993726966,-2.24651698692401,3.96732847083536,-2.51995570294423,-5.90683873665559,5.90683873665558,-4.68231100114648,3.98785609256363,1.21380270024939,0.917207990812603,1.14839793811836,3.08833438861918,-0.366106768752092,0.208904387749509,-1.8010505084804,-44.5415142144585,-59.4839421636827,43.8726762541396,2.85739952540422,0.487541605892519,2.75798792115721
"CE8",-0.96346214113648,-2.5215836154119,4.32234957030483,-2.68755502063196,-3.11703571945884,3.11703571945883,-3.50484658515394,1.6697820373442,2.95323441894386,0.674964617145063,0.930415459081874,1.67137493937669,-0.877101724104884,2.90759615232287,-2.71256590475391,-54.0191973479704,-68.9481069369811,42.6373721780553,5.9792236015336,1.70668537332751,5.57166923870015
"DS8",0.851373679348733,-1.90326035421211,3.34740851274358,-2.19428621767719,-5.43981605478532,5.43981605478533,-2.91570767270829,0.209734426693944,5.39486197937232,1.16502338087287,-0.603531057319921,2.42025613613236,-2.2923253308263,3.52115374900378,-2.04937039425667,-48.5103834651432,-71.6269944457655,60.2867169090425,2.93841086000332,-1.09595733999595,3.38155317162952
"FA8",0.677460150813078,-2.24567804075917,4.10431885957126,-2.57864921217801,-3.35247980792473,3.35247980792473,-4.05087157990807,0.239509548733818,5.49977896408544,3.95780933815154,-0.626342438253351,4.94983093958517,-3.05642225147323,3.525690583956,-2.38452419534921,-48.1417252089104,-63.4882570893959,44.9629428064659,2.9275799952692,-0.435524982013762,3.45469155334129
"GL8",-0.893060186290363,-1.93874383568368,4.17415316354145,-3.12089508248939,-3.44202608827538,3.44202608827537,-3.24591609823352,0.876811150029558,4.39183089813429,1.80767879468611,-0.790343574412396,2.00129675017832,-2.43261522750183,3.85708161585055,-2.15754300320151,-55.0886141104276,-70.9463624636113,38.7713351361545,3.8536501641244,1.8135307027143,2.48299870565958
"HO8",0.0784196608742449,-1.96675753853005,3.54238793940164,-2.27065863852265,-7.5862186860325,7.5862186860325,-2.73830187327896,1.35806865167543,2.69566923062617,1.05949807454796,-0.583257362872998,3.32321438652773,-1.0028050431975,1.99070222749556,-2.12513202979963,-51.7044082689227,-74.2441727467698,63.1355147530066,2.57670865323895,-0.0749932429725279,2.60798263408891
